,JobName,SizeX,SizeY,Mean_PerArea,Mean_PerVolume,Max_PerArea,Min_PerArea,Var_PerArea,Max_PerVolume,Min_PerVolume,Var_PerVolume,Count
336,SPI-AD7.820.02866-F-A,762.0,862.0,86.2103375,110.42303749999999,89.4253,82.8239,5.833728305535724,116.4882,103.3892,24.640759319821438,8.0
337,SPI-AD7.820.02866-F-A,381.0,862.0,113.6307375,129.435675,118.014,110.7186,8.336183279821425,136.05700000000002,123.5463,16.399121850714305,8.0
338,SPI-AD7.820.02866-F-A,950.0,1000.0,95.32768571428572,107.03585714285714,103.2223,87.2233,28.996053481318686,118.9171,93.5661,40.08258475494507,14.0
339,SPI-AD7.820.02866-F-A,1124.0,870.0,100.93199374999999,112.55319999999998,104.8659,98.6992,2.153687224624995,119.3093,105.7698,15.259276487999992,16.0
340,SPI-AD7.820.02866-F-A,1100.0,1000.0,102.026225,115.63282500000003,106.3592,98.0735,4.498308592666671,125.8533,108.8193,19.546450448666675,16.0
341,SPI-AD7.820.02866-F-A,650.0,2000.0,112.39690000000003,116.14015512820515,115.448,109.7287,1.4901478368831156,130.7516,98.5938,37.30257948510323,78.0
342,SPI-AD7.820.02866-F-A,1100.0,1000.0,104.97925000000001,124.59665000000001,105.4566,104.5019,0.45572604499998887,125.5049,123.6884,1.6498361250000089,2.0
343,SPI-AD7.820.02866-F-A,950.0,1000.0,97.09132727272727,114.00903636363637,103.0037,90.6432,11.301837399220778,129.1021,102.1926,46.04870870147188,22.0
344,SPI-AD7.820.02866-F-A,762.0,862.0,85.02191666666667,106.12618333333334,92.7301,78.0796,30.366083317666657,118.7153,94.3883,96.74354147766661,6.0
345,SPI-AD7.820.02866-F-A,381.0,862.0,115.0871875,133.8893125,128.8279,108.5095,49.36684554982141,149.1539,120.2328,104.49189189267854,8.0
346,SPI-AD7.820.02866-F-A,1100.0,1000.0,105.86133333333332,120.98306666666667,108.728,99.8408,10.826014682666663,137.393,105.3975,148.4662236746667,6.0
347,SPI-AD7.820.02866-F-A,400.0,1850.0,120.18688333333333,130.24734629629629,127.3711,111.434,20.294561085566034,151.955,114.9825,59.051425358004884,54.0
348,SPI-AD7.820.02866-F-A,950.0,1000.0,94.89647857142856,106.07014285714286,102.75299999999999,86.9402,28.37181775412086,117.6093,93.1458,40.521185065714306,14.0
349,SPI-AD7.820.02866-F-A,1124.0,870.0,100.73595,111.71723124999998,103.0526,97.8802,2.1822612733333298,117.7356,105.0083,14.078642616958325,16.0
350,SPI-AD7.820.02866-F-A,1100.0,1000.0,102.12399375,115.53618125000001,106.12899999999999,98.1074,5.332357639291662,125.3374,106.2784,21.60191066562499,16.0
351,SPI-AD7.820.02866-F-A,650.0,2000.0,112.34791794871798,115.84238461538462,115.4823,108.7929,1.6797106521411915,130.8614,100.1001,35.98857723976025,78.0
352,SPI-AD7.820.02866-F-A,950.0,1000.0,89.8969,104.91659999999999,90.9157,88.8781,2.0759068799999953,107.5131,102.3201,13.483624499999989,2.0
353,SPI-AD7.820.02866-F-A,650.0,2549.0,106.18118999999999,103.50820000000002,108.0947,103.6101,1.4063407743333345,108.5463,98.0355,8.615817682222229,10.0
354,SPI-AD7.820.02866-F-A,1124.0,870.0,101.21805,112.76044999999999,104.1661,97.8606,4.087050486363633,117.7418,102.0147,23.2142386681818,12.0
355,SPI-AD7.820.02866-F-A,1100.0,1000.0,100.41431666666666,111.13598333333334,105.5015,97.1899,8.823270145666653,114.8579,105.3576,12.978572573666645,6.0
356,SPI-AD7.820.02866-F-A,650.0,2549.0,105.67264,111.47859000000001,106.8459,103.5691,0.7666421604444426,114.4385,107.4188,3.98745554322222,10.0
357,SPI-AD7.820.02866-F-A,650.0,2000.0,113.22485769230768,117.4128076923077,116.1307,111.2358,1.5821564225384643,134.5855,102.4088,52.29322903113845,26.0
358,SPI-AD7.820.02866-F-A,950.0,1000.0,95.41887857142858,113.24391428571428,103.6647,82.7079,34.33798055104395,135.839,95.2817,155.52883489824183,14.0
